1.10326	3.4353	1.10326	3.4353
2.62765	2.95293	2.62765	2.95293
-1.47256	4.38868	-1.47256	4.38868
3.50671	-1.2876	3.50671	-1.2876
6.68751	2.57783	6.68751	2.57783
4.27855	-0.494618	4.27855	-0.494618
5.79583	0.637897	5.79583	0.637897
3.42309	2.69947	3.42309	2.69947
-0.442245	3.55465	-0.442245	3.55465
4.54066	-4.47113	4.54066	-4.47113
3.51276	-2.05559	3.51276	-2.05559
3.49019	-1.59639	3.49019	-1.59639
-1.48517	1.28491	-1.48517	1.28491
3.20934	-0.39623	3.20934	-0.39623
-7.52513	0.0149468	-7.52513	0.0149468
1.11667	-1.20528	1.11667	-1.20528
1.92181	4.74882	1.92181	4.74882
4.32103	2.76623	4.32103	2.76623
2.34082	3.09798	2.34082	3.09798
-0.982014	-4.51997	-0.982014	-4.51997
3.3751	-0.964371	3.3751	-0.964371
-0.397241	4.05919	-0.397241	4.05919
0.742813	-2.23124	0.742813	-2.23124
5.19693	1.92147	5.19693	1.92147
-2.88018	3.27518	-2.88018	3.27518
0.843599	-4.6146	0.843599	-4.6146
1.10546	-4.05455	1.10546	-4.05455
-2.57669	5.91642	-2.57669	5.91642
4.35311	-0.210575	4.35311	-0.210575
3.46643	3.69569	3.46643	3.69569
-2.39997	1.54778	-2.39997	1.54778
5.19501	1.96484	5.19501	1.96484
-1.85347	6.9168	-1.85347	6.9168
2.58156	4.96548	2.58156	4.96548
2.16144	3.15328	2.16144	3.15328
2.71877	0.971564	2.71877	0.971564
4.02624	1.81002	4.02624	1.81002
3.20754	0.670795	3.20754	0.670795
4.11508	2.74113	4.11508	2.74113
2.30588	-0.966974	2.30588	-0.966974
-0.0520229	-2.62848	-0.0520229	-2.62848
3.6621	-1.86499	3.6621	-1.86499
-1.0917	4.05249	-1.0917	4.05249
4.66944	1.75506	4.66944	1.75506
-1.39353	-1.61059	-1.39353	-1.61059
5.15776	-1.21146	5.15776	-1.21146
0.10953	3.58545	0.10953	3.58545
1.69743	4.18627	1.69743	4.18627
-2.6637	-0.496348	-2.6637	-0.496348
0.216973	-1.84803	0.216973	-1.84803
5.07095	2.08778	5.07095	2.08778
3.99906	3.12725	3.99906	3.12725
2.6268	2.88136	2.6268	2.88136
5.15102	-0.648032	5.15102	-0.648032
3.63415	3.3748	3.63415	3.3748
3.68372	-0.329659	3.68372	-0.329659
0.721568	-0.168274	0.721568	-0.168274
3.2755	-0.509068	3.2755	-0.509068
1.52324	2.30652	1.52324	2.30652
1.90334	3.71276	1.90334	3.71276
5.51028	1.77863	5.51028	1.77863
-1.83054	4.68222	-1.83054	4.68222
