Threshold	FalseNegative	FalsePositive
-1	0.00693698	0.720735
-0.95	0.00742497	0.707517
-0.9	0.00802237	0.693916
-0.85	0.00867781	0.680983
-0.8	0.0094161	0.667574
-0.75	0.0103579	0.655581
-0.7	0.0113713	0.639734
-0.65	0.0125641	0.625017
-0.6	0.0138031	0.610327
-0.55	0.0152705	0.598733
-0.5	0.0169509	0.586147
-0.45	0.0190306	0.574905
-0.4	0.0214171	0.565045
-0.35	0.0242017	0.558811
-0.3	0.0271986	0.551477
-0.25	0.0303319	0.543514
-0.2	0.0333878	0.542445
-0.15	0.0366366	0.537934
-0.0999998	0.040139	0.536887
-0.0499998	0.0437322	0.556052
1.55717e-07	0.0470983	-nan
