Threshold	FalseNegative	FalsePositive
-1	0.0193205	0.416945
-0.95	0.0197914	0.411714
-0.9	0.0212223	0.392376
-0.85	0.0226217	0.387574
-0.8	0.0240795	0.380973
-0.75	0.024991	0.376565
-0.7	0.0266543	0.371961
-0.65	0.0280263	0.357614
-0.6	0.0289756	0.348586
-0.55	0.030394	0.344663
-0.5	0.0321841	0.340472
-0.45	0.0340599	0.34326
-0.4	0.035505	0.339211
-0.35	0.0373704	0.324855
-0.3	0.0395976	0.336578
-0.25	0.0408333	0.33351
-0.2	0.0436468	0.331153
-0.15	0.0461214	0.338363
-0.0999998	0.0484387	0.340162
-0.0499998	0.0515721	0.349427
1.55717e-07	0.053637	-nan
