Threshold	FalseNegative	FalsePositive
-2	0.00531829	0.855589
-1.9	0.00537232	0.84111
-1.8	0.00556109	0.83147
-1.7	0.00589539	0.823493
-1.6	0.00623361	0.813452
-1.5	0.00659247	0.798784
-1.4	0.00697833	0.784021
-1.3	0.007469	0.76254
-1.2	0.00807311	0.739934
-1.1	0.00885447	0.716789
-1	0.00979453	0.686892
-0.9	0.0110071	0.652852
-0.8	0.0125883	0.611304
-0.7	0.0149828	0.5695
-0.6	0.0178718	0.536494
-0.5	0.0216003	0.504358
-0.4	0.0267038	0.477095
-0.3	0.0330353	0.447904
-0.2	0.039902	0.431935
-0.0999997	0.04705	0.410931
3.11434e-07	0.053637	-nan
