Threshold	FalseNegative	FalsePositive
-2	0.0052037	0.630488
-1.9	0.00560609	0.606085
-1.8	0.00612225	0.596782
-1.7	0.0068911	0.568164
-1.6	0.00730583	0.549052
-1.5	0.0082714	0.535739
-1.4	0.00894502	0.526973
-1.3	0.00984681	0.503855
-1.2	0.0110781	0.48205
-1.1	0.0123275	0.470879
-1	0.0136159	0.456626
-0.9	0.0152954	0.435327
-0.8	0.0178497	0.420509
-0.7	0.0200297	0.404909
-0.6	0.0221942	0.386195
-0.5	0.0252072	0.368934
-0.4	0.0283596	0.357727
-0.3	0.0325044	0.342189
-0.2	0.0366882	0.331603
-0.0999997	0.0417272	0.320213
3.11434e-07	0.0470983	-nan
